company,origin_country,category,current_owner,owner_country,ownership_status,deal_year,deal_status,notes,source_url,source_publisher,accessed_date
Seat24,Sweden,flight OTA,Etraveli Group,United Kingdom / USA,acquired_european,2017,completed,Etraveli flight booking brand listed in ProSiebenSat.1 sale announcement,https://www.prosiebensat1.com/en/newsroom/prosiebensat1-sells-etraveli-to-cvc-capital-partners-en-337797,ProSiebenSat.1,2026-07-02
eDreams,Spain,flight OTA,eDreams ODIGEO,Spain,public_european,2014,not_known_acquired,Spanish listed online travel company brand,https://www.edreamsodigeo.com/about-us/history/,eDreams ODIGEO,2026-07-02
Opodo,United Kingdom,flight OTA,eDreams ODIGEO,Spain,public_european,2011,completed,UK-origin OTA brand acquired into eDreams ODIGEO formation,https://www.edreamsodigeo.com/about-us/history/,eDreams ODIGEO,2026-07-02
GO Voyages,France,flight OTA,eDreams ODIGEO,Spain,public_european,2011,completed,French OTA brand in eDreams ODIGEO group,https://www.edreamsodigeo.com/our-brands/,eDreams ODIGEO,2026-07-02
Travellink,Sweden,flight OTA,eDreams ODIGEO,Spain,public_european,2011,completed,Nordic OTA brand in eDreams ODIGEO group,https://www.edreamsodigeo.com/our-brands/,eDreams ODIGEO,2026-07-02
Liligo,France,flight metasearch,eDreams ODIGEO,Spain,public_european,2013,completed,French metasearch brand acquired by eDreams ODIGEO before its 2014 listing,https://www.edreamsodigeo.com/about-us/history/,eDreams ODIGEO,2026-07-02
Google Flights,USA,flight metasearch,Alphabet,USA,public_non_european,,not_known_acquired,US flight metasearch comparator owned by Alphabet,https://www.google.com/travel/flights,Google,2026-07-02
Expedia Flights,USA,flight OTA,Expedia Group,USA,public_non_european,,not_known_acquired,US travel booking brand of Expedia Group,https://www.expediagroup.com/en-us,Expedia Group,2026-07-02
Hopper,Canada,flight OTA,Private shareholders,Canada,private_non_european,,not_known_acquired,Canadian travel booking app comparator,https://www.hopper.com/,Hopper,2026-07-02
CheapOair,USA,flight OTA,Fareportal,USA,private_non_european,,not_known_acquired,US flight booking brand of Fareportal,https://www.cheapoair.com/,CheapOair,2026-07-02
Trip.com,China,flight OTA,Trip.com Group,China,public_non_european,,not_known_acquired,Chinese travel booking platform and parent of Skyscanner and Travelfusion,https://www.trip.com/,Trip.com,2026-07-02
On the Beach,United Kingdom,flight and holiday OTA,Public shareholders,United Kingdom,public_european,,not_known_acquired,UK listed online holiday retailer with flight package booking,https://www.onthebeachgroupplc.com/,On the Beach Group,2026-07-02
lastminute.com,Switzerland,flight and holiday OTA,Public shareholders,Switzerland,public_european,,not_known_acquired,European online travel group and flight booking brand,https://www.lastminute.com/,lastminute.com,2026-07-02
Omio,Germany,multimodal travel booking,Private shareholders,Germany,private_european,,not_known_acquired,German travel booking app with flight search alongside rail and bus,https://www.omio.com/,Omio,2026-07-02
ABC Travel Service,Germany,travel agency and flight booking,ABC Travel Service GmbH & Co. KG,Germany,private_european,,not_known_acquired,Owner-managed German travel agency and flight booking portal,https://www.abctravel.de/impressum,ABC Travel Service,2026-07-02
Billigflug,Germany,flight OTA,TC Flights Germany GmbH,Germany,private_european,,not_known_acquired,German flight booking portal operated by TC Flights Germany GmbH,https://www.billigflug.de/service/imprint/,Billigflug,2026-07-02
Condor,Germany,airline direct booking,Attestor,United Kingdom,acquired_european,2021,completed,German airline direct booking channel majority-owned by Attestor,https://condor-newsroom.condor.com/en/de/about-us/history/,Condor,2026-07-02
eSky,Poland,flight OTA,MCI Capital,Poland,private_european,,not_known_acquired,Polish travel booking platform and Thomas Cook owner,https://eskygroup.esky.com/,eSky Group,2026-07-02
Farera,USA,flight OTA,Farera,USA,private_non_european,,not_known_acquired,US-based flight booking platform with limited public ownership data,https://docs.farera.com/,Farera,2026-07-02
Flightnetwork,Canada,flight OTA,Etraveli Group,Sweden,acquired_european,2019,completed,Canadian OTA acquired by Etraveli Group,https://www.etraveligroup.com/etraveli-group-acquires-tripstack-and-flight-network-adding-tech-capabilities-and-further-strengthening-its-global-position/,Etraveli Group,2026-07-02
Flighttix,Netherlands,flight OTA,Tix B.V.,Netherlands,private_european,,not_known_acquired,Flight booking brand associated with Tix Gate1 Flighttix,https://media.tix.fr/Privacy2019.pdf,Tix B.V.,2026-07-02
lastminute.de,Germany,flight and holiday OTA,lastminute.com Group,Switzerland,public_european,,not_known_acquired,German localized lastminute.com booking portal,https://corporate.lastminute.com/media-and-news/,lastminute.com Group,2026-07-02
LOL.travel,Italy,flight OTA,Easy Market Spa,Italy,private_european,,not_known_acquired,Italian OTA operated by Easy Market Spa,https://www.lol.travel/us/about-us,LOL.travel,2026-07-02
Sembo,Sweden,travel booking,Stena Line Travel Group,Sweden,private_european,,not_known_acquired,Swedish travel booking platform owned by Stena Line Travel Group,https://www.sembo.com/,Sembo,2026-07-02
WAYA,Iceland,flight booking,Dohop,Iceland,private_european,,not_known_acquired,Flight connection booking site powered by Dohop,https://www.waya.travel/content/about-us,WAYA,2026-07-02
weg.de,Germany,travel booking,lastminute.com Group,Switzerland,acquired_european,2017,completed,German travel booking portal acquired by lastminute.com Group via Comvel,https://www.phocuswire.com/lastminute-buys-comvel-weg-germany,PhocusWire,2026-07-02
Aegean Airlines,Greece,airline direct booking,Public shareholders,Greece,public_european,,not_known_acquired,Greek listed airline direct booking channel,https://en.about.aegeanair.com/investor-relations/,Aegean Airlines,2026-07-02
Air Europa,Spain,airline direct booking,Globalia and IAG minority,Spain / United Kingdom,private_european,,not_known_acquired,Spanish airline still controlled by Globalia after IAG abandoned full takeover plan,https://ec.europa.eu/commission/presscorner/detail/cs/ip_24_2306,European Commission,2026-07-02
Air France,France,airline direct booking,Air France-KLM,France / Netherlands,public_european,,not_known_acquired,French airline brand in listed Air France-KLM group,https://www.airfranceklm.com/en/finance/air-france-klm-capital/shareholding-structure,Air France-KLM,2026-07-02
Austrian Airlines,Austria,airline direct booking,Lufthansa Group,Germany,acquired_european,2009,completed,Austrian airline acquired by Lufthansa Group,https://ec.europa.eu/competition/mergers/cases/decisions/m5440_20090828_20600_en.pdf,European Commission,2026-07-02
British Airways,United Kingdom,airline direct booking,IAG,United Kingdom / Spain,acquired_european,2011,completed,UK airline brand under International Airlines Group,https://careers.ba.com/our-brands,British Airways,2026-07-02
Brussels Airlines,Belgium,airline direct booking,Lufthansa Group,Germany,acquired_european,2017,completed,Belgian airline fully integrated into Lufthansa Group from 2018,https://press.brusselsairlines.com/lufthansa-and-brussels-airlines-shaping-the-future-together,Brussels Airlines,2026-07-02
Connections by easyJet,United Kingdom,self-connect booking,easyJet and Dohop,United Kingdom / Iceland,private_european,,not_known_acquired,easyJet connection booking service powered by Dohop,https://www.easyjet.com/en/help/extra-services/connections-by-easyjet,easyJet,2026-07-02
Eurowings,Germany,airline direct booking,Lufthansa Group,Germany,public_european,,not_known_acquired,German airline brand in Lufthansa Group,https://www.lufthansagroup.com/en/company.html,Lufthansa Group,2026-07-02
Expedia,USA,flight OTA,Expedia Group,USA,public_non_european,,not_known_acquired,US travel booking brand of Expedia Group,https://www.expediagroup.com/en-us,Expedia Group,2026-07-02
flugladen.de,Germany,flight OTA,Trip.com Group,China,acquired_non_european,2020,completed,German Travix flight brand now under Trip.com Group,https://www.travix.com/,Travix,2026-07-02
Flysmarter,Sweden,flight OTA,FlySmarter,Sweden,private_european,,not_known_acquired,Flight OTA with Sweden contact footprint and limited public ownership data,https://www.trustpilot.com/review/flysmarter.at,Trustpilot,2026-07-02
Iberia,Spain,airline direct booking,IAG,United Kingdom / Spain,acquired_european,2011,completed,Spanish airline brand under International Airlines Group,https://centreforaviation.com/data/profiles/airline-groups/international-airlines-group-iag,CAPA,2026-07-02
ITA Airways,Italy,airline direct booking,Lufthansa Group,Germany,acquired_european,2025,completed,Italian airline became part of Lufthansa Group after 41 percent stake closed,https://newsroom.lufthansagroup.com/en/lufthansa-group-finalizes-41-percent-stake-in-ita-airways/,Lufthansa Group,2026-07-02
Kissandfly.de,Unknown,flight OTA,TTN,Unknown,unknown,,not_known_acquired,Member of TTN holding with owner country requiring registry follow-up,https://avia.kissandfly.com/content/about.html,Kissandfly,2026-07-02
KLM,Netherlands,airline direct booking,Air France-KLM,France / Netherlands,acquired_european,2004,completed,Dutch airline brand in Air France-KLM group,https://www.airfranceklm.com/en/finance/air-france-klm-capital/shareholding-structure,Air France-KLM,2026-07-02
Lufthansa,Germany,airline direct booking,Public shareholders,Germany,public_european,,not_known_acquired,German listed airline group and direct booking channel,https://www.lufthansagroup.com/en/company.html,Lufthansa Group,2026-07-02
oojo,Netherlands,flight OTA,Trevolution Group,Netherlands / USA,private_european,,not_known_acquired,Flight OTA of Trevolution Group with Amsterdam operating footprint,https://trevolution.group/en/press/oojo-reaches-new-horizons-with-its-german-market-launch/,Trevolution Group,2026-07-02
Pegasus Airlines,Turkey,airline direct booking,Esas Holding,Turkey,public_european,,not_known_acquired,Turkish listed low-cost airline controlled by Esas Holding,https://www.pegasusinvestorrelations.com/en/corporate-governance/group-companies,Pegasus Airlines,2026-07-02
SAUDIA,Saudi Arabia,airline direct booking,Government of Saudi Arabia,Saudi Arabia,state_owned,,not_known_acquired,Saudi national airline treated as state-owned for ownership mapping,https://www.saudia.com/,SAUDIA,2026-07-02
SWISS,Switzerland,airline direct booking,Lufthansa Group,Germany,acquired_european,2005,completed,Swiss airline acquired by Lufthansa Group,https://ec.europa.eu/competition/mergers/cases/decisions/m3770_20050704_20212_en.pdf,European Commission,2026-07-02
TAP Air Portugal,Portugal,airline direct booking,Portuguese state,Portugal,state_owned,,not_known_acquired,Portuguese state-owned airline undergoing privatization process,https://newsroom.lufthansagroup.com/en/lufthansa-group-intends-to-play-an-active-role-in-the-privatization-of-tap-air-portugal/,Lufthansa Group,2026-07-02
United Airlines,USA,airline direct booking,Public shareholders,USA,public_non_european,,not_known_acquired,US listed airline direct booking channel,https://ir.united.com/,United Airlines,2026-07-02
Vueling,Spain,airline direct booking,IAG,United Kingdom / Spain,acquired_european,2013,completed,Spanish low-cost airline brand under International Airlines Group,https://centreforaviation.com/data/profiles/airline-groups/international-airlines-group-iag,CAPA,2026-07-02
