source_id,brand,sector,origin_country,brand_type,research_priority,consumer_score,notes,source_url,source_publisher,accessed_date
EU_STARTUPS_FOODTECH_2022,Juicy Marbles,foodtech,Slovenia,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Groots,foodtech,Spain,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,La Vie,foodtech,France,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Revo Foods,foodtech,Austria,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Hooked,foodtech,Sweden,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Les Miraculeux,foodtech,France,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Nourish3d,foodtech,United Kingdom,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Bosque Foods,foodtech,Germany,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Formo,foodtech,Germany,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_FOODTECH_2022,Divaks,foodtech,Lithuania,brand,medium,7,Foodtech startup from EU-Startups 2022 seed list,https://www.eu-startups.com/2022/11/10-european-startups-shaping-the-future-of-food-with-tech/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Gorillas,grocery delivery,Germany,app,high,9,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Razor Group,e-commerce,Germany,company,medium,7,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Foodpanda,food delivery,Germany,app,high,9,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Commercetools,e-commerce infrastructure,Germany,software,medium,6,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Billie,fintech,Germany,service,medium,7,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Grover,electronics rental,Germany,platform,high,8,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Zalando,fashion e-commerce,Germany,platform,high,10,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Berlin Brands Group,consumer goods,Germany,company,medium,7,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,FlixBus,mobility,Germany,app,high,9,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Flink,grocery delivery,Germany,app,high,8,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Hive,e-commerce logistics,Germany,software,medium,6,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Delivery Hero,food delivery,Germany,app,high,10,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,GetYourGuide,travel,Germany,platform,high,9,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Yababa,grocery delivery,Germany,app,medium,7,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Chrono24,luxury marketplace,Germany,marketplace,high,8,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Spryker Systems,e-commerce infrastructure,Germany,software,medium,6,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,ABOUT YOU,fashion e-commerce,Germany,platform,high,9,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Productsup,e-commerce infrastructure,Germany,software,medium,5,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,CHRONEXT,luxury marketplace,Germany,marketplace,medium,7,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_ECOM_GERMANY_2021,Elopage,creator commerce,Germany,platform,medium,6,German e-commerce seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-e-commerce-startups-and-companies-in-germany/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Satispay,fintech,Italy,app,medium,8,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,H-FARM,fintech,Italy,company,medium,5,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Ventis,fintech,Italy,marketplace,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Criptalia,fintech,Italy,platform,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Walliance,fintech,Italy,platform,medium,7,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Fintastico,fintech,Italy,platform,medium,5,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Young Platform,fintech,Italy,app,medium,7,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,MioAssicuratore,fintech,Italy,platform,medium,7,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Axyon AI,fintech,Italy,software,medium,5,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,MDOTM,fintech,Italy,software,medium,5,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,FinScience,fintech,Italy,software,medium,5,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Switcho,fintech,Italy,app,medium,7,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,ViteSicure,fintech,Italy,service,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Moneymour,fintech,Italy,service,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Epiphany,fintech,Italy,software,medium,5,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Soisy,fintech,Italy,service,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,BorsadelCredito.it,fintech,Italy,marketplace,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Growish,fintech,Italy,service,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,Workinvoice,fintech,Italy,platform,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_ITALY_2021,CrowdFundMe,fintech,Italy,platform,medium,6,Italian fintech seed from EU-Startups 2021 list,https://www.eu-startups.com/69-top-fintech-startups-and-companies-in-italy-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Vestiaire Collective,fashion,France,marketplace,high,9,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Lookiero,fashion,France,service,high,8,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Showroomprive,fashion,France,platform,high,8,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Storefront,fashion,France,marketplace,medium,6,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Planity,fashion,France,platform,high,8,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Wethenew,fashion,France,marketplace,high,8,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Arianee,fashion,France,software,medium,5,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,LVMH,fashion,France,company,high,10,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Heuritech,fashion,France,software,medium,5,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Smallable,fashion,France,platform,medium,7,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Patatam,fashion,France,marketplace,medium,6,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Sarenza,fashion,France,platform,high,8,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_FRANCE_2021,Stockly,fashion,France,software,medium,5,French fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/101-top-fashion-startups-and-companies-in-france-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,COMBYNE,fashion,Germany,app,medium,7,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,STYLIGHT,fashion,Germany,platform,high,8,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,GLOBAL SAVINGS GROUP,fashion,Germany,platform,medium,7,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,OONIQUE,fashion,Germany,brand,medium,5,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,21DIAMONDS,fashion,Germany,platform,medium,6,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,MYTHERESA,fashion,Germany,platform,high,9,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,JAIMIE JACOBS,fashion,Germany,brand,medium,5,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,LIMANGO,fashion,Germany,platform,high,8,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,KELKOO GROUP,fashion,Germany,platform,medium,7,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,TRISTYLE GROUP,fashion,Germany,company,medium,6,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,MYBESTBRANDS,fashion,Germany,platform,medium,6,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,LUDWIG BECK,fashion,Germany,retailer,medium,6,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,STYLEFRUITS,fashion,Germany,platform,medium,7,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,VEHNS GROUP,fashion,Germany,company,medium,6,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FASHION_MUNICH_2021,KEEPOALA,fashion,Germany,app,medium,5,Munich fashion seed from EU-Startups 2021 list,https://www.eu-startups.com/39-top-fashion-startups-and-companies-in-munich/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_EUROPE_2021,Pennylane,fintech,France,app,medium,7,Fintech teaser company from EU-Startups 2021 Europe list,https://www.eu-startups.com/2021/06/top-50-europes-hottest-fintech-startups-in-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_EUROPE_2021,Vivid Money,fintech,Germany,app,high,8,Fintech teaser company from EU-Startups 2021 Europe list,https://www.eu-startups.com/2021/06/top-50-europes-hottest-fintech-startups-in-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_EUROPE_2021,Primer,fintech,United Kingdom,app,medium,7,Fintech teaser company from EU-Startups 2021 Europe list,https://www.eu-startups.com/2021/06/top-50-europes-hottest-fintech-startups-in-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_EUROPE_2021,Moss,fintech,Germany,app,medium,7,Fintech teaser company from EU-Startups 2021 Europe list,https://www.eu-startups.com/2021/06/top-50-europes-hottest-fintech-startups-in-2021/,EU-Startups,2026-07-02
EU_STARTUPS_FINTECH_EUROPE_2021,Zilch,fintech,United Kingdom,app,high,8,Fintech teaser company from EU-Startups 2021 Europe list,https://www.eu-startups.com/2021/06/top-50-europes-hottest-fintech-startups-in-2021/,EU-Startups,2026-07-02
